condition,fly_id,choice,chose_b,odor_b_side,latency_s,distance,completed,weight_a,weight_b,random_seed
unpaired,71,A,False,left,17.900000000000002,2.106717736786657,True,0.4175274258367902,0.3564571041011637,8431602710515062330
unpaired,72,A,False,right,14.65,2.2516809494016985,True,0.38861604655415605,0.386035393224229,8061994401058848727
unpaired,73,B,True,left,21.0,2.6537393865652135,False,0.40493143438474416,0.3695622871859482,5473143660068739311
unpaired,74,A,False,left,21.0,2.760879991696716,False,0.3945657192511937,0.38012012973274273,8639961325195808527
unpaired,75,B,True,right,18.900000000000002,2.3672814683835286,True,0.3893416643656235,0.38539838273884686,13596827123035140750
unpaired,76,B,True,left,21.0,2.6893955253129698,False,0.40515948990163597,0.36956103984610156,10679578517684460497
unpaired,77,B,True,right,18.55,2.5977060627836126,True,0.38451147600445845,0.39039827849798686,13724690970723870090
unpaired,78,A,False,right,17.95,2.273930937985792,True,0.41723367340774553,0.35680114187305223,5535979574078022713
unpaired,79,B,True,right,21.0,2.2777411060611663,False,0.36534113456808115,0.4090093122857268,12718654526211234872
unpaired,80,B,True,right,21.0,2.5354815956731516,False,0.3924451954764746,0.3821956421452901,3691905675393001087
unpaired,81,A,False,right,17.0,2.1852802686432082,True,0.41114884651889205,0.3631030381342188,17542319913788885206
unpaired,82,B,True,right,16.35,2.1872239350302385,True,0.37273926570994487,0.40192913812935005,2652795629621401592
unpaired,83,B,True,right,16.400000000000002,2.3432318275909645,True,0.37187744354649155,0.4029159737658319,5752393683978380676
unpaired,84,A,False,left,17.45,2.3526618155586223,True,0.3695277395642952,0.4049046023264603,17824295394113426068
unpaired,85,A,False,left,16.25,2.2254165720024996,True,0.39767815381049576,0.37743730836755424,15841646613113887073
unpaired,86,B,True,left,16.6,2.2058433034811187,True,0.3955441686996642,0.3794055400265667,7858910145068557713
unpaired,87,B,True,right,17.75,2.208693160031488,True,0.384276873742056,0.39038427093346284,5816246714322797010
unpaired,88,B,True,left,21.0,2.8025238354927304,False,0.3921152666819179,0.38257545810172594,8742252371540685735
