condition,fly_id,choice,completed,latency_s,distance_mm,odor_b_side,random_seed,circuit_seed,last_x_mm,last_y_mm,weight_a,weight_b,physical_training,physics_ticks,control_updates
paired,64,B,True,0.9982000000000001,24.291149520903282,right,2036277379,1094266117,13.767829259833679,-2.5003578082763793,0.0,0.5349158112060243,False,9982,400
paired,65,none,False,,47.56412874384184,left,1470027206,3757366323,28.769759925635213,0.39873007464427046,0.0,0.5784508030276169,False,20000,500
paired,66,B,True,0.8819,21.498983463338927,right,1374813668,2392439481,12.000080654178436,-3.650119322436202,0.0,0.5757612855721009,False,8819,389
paired,67,B,True,1.2323,29.61226992083366,left,4080420000,218281041,17.09302997017532,2.5027155935481673,0.0,0.5326970635518494,False,12323,424
paired,68,none,False,,47.46969532521285,right,3746590987,959691297,28.726785157795895,-0.6327449362820692,0.0,0.5651739063271032,False,20000,500
paired,69,B,True,1.2759,30.68064020853979,right,2158745784,1690609082,17.745863943985476,-2.50190633007743,0.0,0.587004155907388,False,12759,428
paired,70,B,True,1.4425000000000001,34.59011081508297,right,3861488491,1708805489,19.839532969496684,-2.5013018521559256,0.0,0.5562669869795809,False,14425,445
paired,71,A,True,0.883,21.61723573736607,left,4164469502,2399240085,12.001048388166877,-3.6353445286428006,0.0,0.5778893498791463,False,8830,389
paired,72,B,True,0.9391,22.798808586230933,left,2151306975,2902438991,12.000275366318453,4.500980769170936,0.0,0.5712646224804994,False,9391,394
paired,73,A,True,1.3860000000000001,33.18331141914274,right,4245289137,43006758,19.69494261542692,2.5001966193276433,0.0,0.5466947920763058,False,13860,439
paired,74,B,True,0.9077000000000001,22.262279812626094,right,3215817099,1263535561,12.000586290200763,-4.879005496833657,0.0,0.5650228548196133,False,9077,391
paired,75,B,True,1.6478000000000002,39.29589657893644,left,3619142548,3833757483,23.277564065865263,2.502705397017959,0.0,0.5482248204533963,False,16478,465
paired,76,A,True,0.8688,21.432637560701725,right,3352373413,1524759676,12.000308842243468,3.206159991108161,0.0,0.5598875673644632,False,8688,387
paired,77,none,False,,47.589363085799555,right,2270059575,1800055429,28.719591458522313,-0.9746108797783315,0.0,0.54911671730356,False,20000,500
paired,78,A,True,0.8653000000000001,21.182321479556197,right,4215025749,1094408144,12.000548201205635,2.966996063912568,0.0,0.5484772212141839,False,8653,387
paired,79,B,True,0.8928,21.725835457624456,left,3517361075,1063757154,12.002585563620352,3.6660210186965037,0.0,0.5718338921699767,False,8928,390
paired,80,B,True,0.8955000000000001,21.98119905057558,right,3137849055,950429876,12.002039245462612,-4.10840470380811,0.0,0.5807382232004481,False,8955,390
paired,81,B,True,1.3114000000000001,31.51071431697722,left,3859339721,2283086162,18.464040804940144,2.502698290458732,0.0,0.5705125072939897,False,13114,432
paired,82,A,True,1.9654,46.720992574847024,right,1045761623,2891344451,27.52286596456064,2.500513838316678,0.0,0.5781839811403487,False,19654,497
paired,83,B,True,1.6480000000000001,39.41417371131063,left,129141916,874976044,22.949972694388435,2.5003077512203897,0.0,0.562901097093775,False,16480,465
paired,84,B,True,1.6089,38.43043788352622,right,1358304359,2431437251,23.068225187401165,-2.501515736737584,0.0,0.5597194534168044,False,16089,461
paired,85,B,True,0.9619000000000001,23.49016175181615,right,1160040151,1246620523,12.00111384019597,-6.072952880949542,0.0,0.5472199309224407,False,9619,397
paired,86,B,True,1.6529,39.590530139295765,left,3319902823,1794939957,23.41231127316266,2.5006488247300487,0.0,0.5741763234784927,False,16529,466
paired,87,B,True,1.01,24.470321049029756,right,1520562430,4263963038,13.895976560226028,-2.5002212830822135,0.0,0.532677521626106,False,10100,401
paired,88,B,True,0.9462,23.09165322341698,right,1977745978,2277999520,12.00164838427331,-4.910191505102562,0.0,0.5833393351458466,False,9462,395
paired,89,B,True,1.7294,41.26507703761837,left,2865872142,1793865271,24.10755204523193,2.500072004419625,0.0,0.5555060241427273,False,17294,473
paired,90,B,True,1.5594000000000001,37.18947836740093,left,3272529857,3987542055,21.877109626951462,2.5009988472867066,0.0,0.5789711386701545,False,15594,456
paired,91,B,True,0.9097000000000001,22.31059297946201,right,3267188114,459195337,12.000001920724932,-5.031622623885527,0.0,0.5799439559761485,False,9097,391
paired,92,B,True,0.8952,21.88670156758035,right,2665928188,1979079933,12.000175625967756,-4.055125399355004,0.0,0.5609998786515594,False,8952,390
paired,93,A,True,1.5536,37.152908549545835,right,3587363441,3826631231,21.883603957925438,2.5002387652007845,0.0,0.5589198135368019,False,15536,456
paired,94,B,True,1.0581,25.585002296993213,right,366268514,3484850979,12.001649657082346,-7.744586196721741,0.0,0.5687209835757001,False,10581,406
paired,95,B,True,1.329,32.00777182882489,right,441034353,3911080589,18.836183173028292,-2.500104914134027,0.0,0.5788117415004493,False,13290,433
